AS47065,USC / UFMG PEERING Research Testbed,
AS1890,Verizon Nederland B.V.,
AS8285,VERSIA Ltd,
AS47314,VINCI,
AS12810,VIPnet d.o.o.,
AS34505,Vistatec Limited,
AS132169,VIVAVO-AS-AP,
AS21446,VPK-Telecom,
AS11967,"W &T Offshore, Inc.",
AS35089,WB-Internet Limited,
AS13068,Wiener Borse AG,
AS20707,WIIT S.p.A.,
AS21175,WIS Telecom SA,
AS49981,WorldStream,
AS33537,WRIGHT & FILIPPISAS33537,
AS15704,XTRA TELECOM S.A.,
AS32628,Z 88.3 FM,
AS263978,ZANI & ZANI IBIRAREMA LTDA - ME,
AS31589,Zaporizhstal Integrated Iron & Steel Works JSC,
AS60572,ZENEXITY SARL,
AS13267,Zuercher Kantonalbank,
AS15037,,
AS64713,,
AS65537,,
AS64705,,
AS26561,,
AS13696,,
AS65186,,
AS64329,,
AS21695,,
AS13317,,
AS65031,,
AS393340,,
AS65507,,
AS40036,,
AS64322,,
AS17300,,
AS64703,,
AS26939,,
AS30191,,
AS64533,,
AS32603,,
AS19533,,
AS64502,,
AS31813,,
AS64525,,
AS22751,,
AS30004,,
AS65077,,
AS15302,,
AS64725,,
AS353395,,
AS64708,,
AS131597,,
AS46579,,
AS64726,,
AS31826,,
AS65019,,
AS54681,,
AS53627,,
AS53640,,
AS33709,,
AS53657,,
AS64728,,
AS54259,,
AS64716,,
AS64710,,
AS39972,,
AS64515,,
AS12240,,
AS64011,,
AS65005,,
AS26051,,
AS62788,,
AS65021,,
AS64121,,
AS65012,,
AS14310,,
AS64999,,
AS64704,,
AS36852,,
AS62894,,
AS65516,,
AS39893,,
AS65017,,
AS62930,,
AS65605,,
AS26396,,
AS54037,,
AS53552,,
AS65529,,
AS32805,,
AS65206,,
AS64521,,
AS54345,,
AS25800,,
AS65557,,
AS14764,,
AS12195,,
AS65535,,
AS65603,,
AS65433,,
AS22056,,
AS64810,,
AS54106,,
AS65419,,
AS11531,,
AS65065,,
AS65515,,
AS53855,,
AS30519,,
AS10547,,
AS53639,,
AS132360,,
AS65531,,
AS40225,,
AS65120,,
AS65623,,
AS31748,,
AS59199,,
AS65018,,
AS65527,,
AS64339,,
AS65010,,
AS64702,,
AS32914,,
AS53550,,
AS19577,,
AS64712,,
AS65505,,
AS54890,,
AS22586,,
AS40815,,
AS65142,,
AS44337,,
AS53642,,
AS64717,,
AS64811,,
AS65013,,
AS27570,,
AS32165,,
AS65008,,
AS15115,,
AS53929,,
AS198005,,
AS53651,,
AS65534,,
AS65103,,
AS19681,,
AS64711,,
AS40172,,
AS64639,,
AS29961,,
AS64680,,
AS64701,,
AS65535121,,
AS18533,,
AS14887,,
AS33731,,
AS56096,,
AS65003,,
AS26023,,
AS64042,,
AS54787,,
AS64914,,
AS32309,,
AS53506,,
AS65555,,
AS26445,,
AS65024,,
AS65292,,
AS63570,,
AS132006,,
AS65500,,
AS65538,,
AS65119,,
AS132777,,
AS65513,,
AS64727,,
AS64517,,
AS22492,,
AS53248,,
AS65805,,
AS15132,,
AS30037,,
AS29703,,
AS47860,,
AS54818,,
AS65432,,
AS40186,,
AS65535122,,
AS64707,,
AS64522,,
AS53645,,
AS62722,,
AS30433,,
AS53715,,
AS65375,,
AS65009,,
AS65007,,
AS65006,,
AS23049,,
AS131599,,
AS132210,,
AS65510,,
AS132467,,
AS38357,,
AS37265,,
AS19078,,
AS21700,,
AS65100,,
AS64714,,
AS40782,,
AS51563,,
AS64608,,
AS53598,,
AS65528,,
AS65052,,
AS65022,,
AS64518,,
AS60580,,
AS23448,,
AS65040,,
AS64700,,
AS53426,,
AS22590,,
AS54541,,
AS64601,,
AS26295,,
AS53771,,
AS53358,,
AS65011,,
AS54333,,
AS54743,,
AS22740,,
AS64723,,
AS27470,,
AS64111,,
AS131306,,
AS65117,,
AS39328,,
AS65401,,
AS65001,,
AS63200,,
AS62839,,
AS29837,,
AS53947,,
AS65536,,
AS53925,,
AS65534112,,
AS36777,,
AS65512,,
AS14942,,
AS64600,,
AS65110,,
AS64842,,
AS21861,,
AS131596,,
AS65412,,
AS29927,,
AS64520,,
AS25760,,
